Running in CPU mode	
Epoch 1.00 / 50, i = 1 / 17800, loss = 4.181234	
Epoch 1.01 / 50, i = 2 / 17800, loss = 4.125656	
Epoch 1.01 / 50, i = 3 / 17800, loss = 4.044669	
Epoch 1.01 / 50, i = 4 / 17800, loss = 3.945129	
Epoch 1.01 / 50, i = 5 / 17800, loss = 3.803496	
Epoch 1.02 / 50, i = 6 / 17800, loss = 3.692429	
Epoch 1.02 / 50, i = 7 / 17800, loss = 3.577917	
Epoch 1.02 / 50, i = 8 / 17800, loss = 3.531487	
Epoch 1.03 / 50, i = 9 / 17800, loss = 3.464782	
Epoch 1.03 / 50, i = 10 / 17800, loss = 3.462438	
Epoch 1.03 / 50, i = 11 / 17800, loss = 3.447765	
Epoch 1.03 / 50, i = 12 / 17800, loss = 3.381257	
Epoch 1.04 / 50, i = 13 / 17800, loss = 3.440634	
Epoch 1.04 / 50, i = 14 / 17800, loss = 3.367021	
Epoch 1.04 / 50, i = 15 / 17800, loss = 3.371420	
Epoch 1.04 / 50, i = 16 / 17800, loss = 3.351689	
Epoch 1.05 / 50, i = 17 / 17800, loss = 3.333857	
Epoch 1.05 / 50, i = 18 / 17800, loss = 3.353473	
Epoch 1.05 / 50, i = 19 / 17800, loss = 3.308777	
Epoch 1.06 / 50, i = 20 / 17800, loss = 3.340852	
Epoch 1.06 / 50, i = 21 / 17800, loss = 3.332827	
Epoch 1.06 / 50, i = 22 / 17800, loss = 3.380875	
Epoch 1.06 / 50, i = 23 / 17800, loss = 3.348234	
Epoch 1.07 / 50, i = 24 / 17800, loss = 3.344340	
Epoch 1.07 / 50, i = 25 / 17800, loss = 3.382107	
Epoch 1.07 / 50, i = 26 / 17800, loss = 3.306459	
Epoch 1.08 / 50, i = 27 / 17800, loss = 3.349200	
Epoch 1.08 / 50, i = 28 / 17800, loss = 3.320500	
Epoch 1.08 / 50, i = 29 / 17800, loss = 3.270086	
Epoch 1.08 / 50, i = 30 / 17800, loss = 3.316196	
Epoch 1.09 / 50, i = 31 / 17800, loss = 3.258404	
Epoch 1.09 / 50, i = 32 / 17800, loss = 3.283417	
Epoch 1.09 / 50, i = 33 / 17800, loss = 3.210853	
Epoch 1.10 / 50, i = 34 / 17800, loss = 3.261995	
Epoch 1.10 / 50, i = 35 / 17800, loss = 3.212727	
Epoch 1.10 / 50, i = 36 / 17800, loss = 3.278771	
